,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
52, - , - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,0,False,False,0.3100596,0.23138379,0.16321458,0.3716166,0.16012093,0.06381844
53,_, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,249,False,False,0.35950613,0.3393308,-0.06795519,0.39486828,0.26505238,-0.13846251
54,vier, - ,OY, - , - , - , - , - , - , - , - , - , - ,de,9,False,False,0.06273686,0.10706568,0.090082005,0.09722574,0.04241722,0.088795185
55,AH,ʌ,AH,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,1752984,True,False,-0.78013027,0.1939699,0.31552732,-0.72552556,0.15650153,0.071404755
56,B,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,en,346454,True,True,-0.6917369,0.13296388,-0.08822617,-0.6349353,0.0978499,0.5506128
57,AW,aʊ,AW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,122632,True,False,-0.66516,0.16626054,0.25305676,-0.5901405,0.12735769,0.09448983
58,T,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,en,1351742,True,True,-0.7583718,0.17151223,-0.2747505,-0.7307592,0.20496687,-0.016574789
59,IH,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,1138540,True,False,-0.75506574,0.15422027,0.1757001,-0.7281945,0.11341413,0.06522431
60,L,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,en,722313,True,False,-0.69705737,0.141216,0.1875335,-0.63513815,0.10596403,0.14875013
61,EH,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,en,505990,True,False,-0.7410023,0.15910986,0.28891104,-0.6971242,0.11887997,0.038867746
62,V,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,en,308814,True,True,-0.69806683,0.1731833,-0.15769142,-0.6541183,0.15865463,0.3001802
63,N,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,en,1211189,True,False,-0.7314508,0.08426334,0.11013101,-0.6894432,0.06259336,0.123706155
64,AY,aɪ,AY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,371523,True,False,-0.6951345,0.13302745,0.20373395,-0.6212857,0.10269969,0.03100225
65,W,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,en,428141,True,False,-0.6778905,0.070801154,0.096096314,-0.6153836,0.043176554,0.2756959
66,AO,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,open,monophthong, - ,en,266504,True,False,-0.7329108,0.14914581,0.29879305,-0.65360004,0.11937816,0.032986913
67,K,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,en,557643,True,True,-0.702528,0.17040077,-0.24957335,-0.65802413,0.18501997,0.07171865
68,AE,æ,AE,vowel,3: vowel,vowel, - , - , - ,front,open,monophthong, - ,en,459972,True,False,-0.7257664,0.18811153,0.23400858,-0.66187614,0.14574885,0.09419433
69,M,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,en,544406,True,False,-0.6884387,0.12349288,0.078303,-0.6376099,0.09546367,0.28135145
70,HH,h,HH,consonant,1: obstruents,fricative,dorsal,glottal,voiceless, - , - , - , - ,en,344118,True,True,-0.6858931,0.12004812,-0.19648257,-0.6474373,0.12283643,-0.06291247
71,OW,oʊ,OW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,248749,True,False,-0.6933319,0.11134027,0.40853584,-0.6225792,0.06733433,0.05969526
72,EY,eɪ,EY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,303809,True,False,-0.70816034,0.1490413,0.16768046,-0.6601553,0.10731789,0.03728225
73,R,ɹ,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,747105,True,False,-0.71973544,0.16716507,0.17586575,-0.6673964,0.14556473,0.15597418
74,IY,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,739292,True,False,-0.7203815,0.13914746,-0.02205185,-0.6815881,0.12233933,0.0475036
75,Z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,en,516448,True,True,-0.6686495,0.104937285,-0.3267772,-0.6547398,0.12186443,-0.27427638
76,TH,θ,TH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,θ,en,112878,True,True,-0.6910756,0.115076005,-0.3883864,-0.6758019,0.14625505,-0.049897145
77,NG,ŋ,NG,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular, - , - , - , - , - ,en,218981,True,False,-0.6429402,0.041348267,0.08301863,-0.59057754,0.008101195,0.106771514
78,S,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,en,851225,True,True,-0.65604126,0.1399141,-0.40270576,-0.6363334,0.17980447,-0.40721723
79,D,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,en,753534,True,True,-0.7475259,0.12898779,-0.20247957,-0.72478384,0.10692135,0.2125963
80,P,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,en,352090,True,True,-0.6742516,0.19422732,-0.26894704,-0.62297255,0.21366131,0.32937726
81,DH,ð,DH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,θ,en,561905,True,True,-0.6610916,0.12107453,-0.14196211,-0.63140297,0.09495621,0.26155075
82,ER,ɝ,ER,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,en,458771,True,False,-0.7241081,0.16044128,0.3151965,-0.6871559,0.12666464,0.0665534
83,AA,ɑ,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,289096,True,False,-0.72744286,0.17356011,0.3528292,-0.64436674,0.14015439,0.06828586
84,UW,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,310148,True,False,-0.6655639,0.10475741,0.17686805,-0.62253034,0.06992989,0.094137594
85,SH,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,en,131676,True,True,-0.6385647,0.12894306,-0.35760283,-0.6171079,0.13654697,-0.4388312
86,G,ɡ,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,en,173972,True,True,-0.69200677,0.117724404,-0.08462934,-0.64724165,0.07622578,0.326611
87,F,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,en,303292,True,True,-0.6865207,0.16752872,-0.3957669,-0.6526471,0.19427818,-0.010530765
88,Y,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,191797,True,False,-0.62815636,0.10411839,-0.12116474,-0.58925605,0.086169995,0.03846259
89,CH,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - ,tʃ,en,78718,True,True,-0.63658947,0.18293974,-0.32598174,-0.6142908,0.19746879,-0.27481112
90,UH,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,95954,True,False,-0.6446705,0.053250205,0.28723586,-0.5957579,0.024882495,0.118927635
91,JH,dʒ,JH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiced, - , - , - ,tʃ,en,89166,True,True,-0.6650286,0.10209696,-0.28469446,-0.6517778,0.079295166,-0.14188223
92,ZH,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,en,9603,True,True,-0.5891586,0.11271106,-0.18819198,-0.5758038,0.09016555,-0.32329804
93,OY,ɔɪ,OY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,40795,True,False,-0.5789757,-0.013081852,0.2088544,-0.51494783,-0.04785222,0.13834551
94,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,fr,238667,True,False,0.22878513,-0.7387802,-0.014949948,0.21499923,-0.8013091,0.06550946
95,a,a,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,fr,319241,True,False,0.22840923,-0.7063971,0.24167699,0.22842063,-0.7644534,-0.028807078
96,p,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,fr,119025,True,True,0.20010974,-0.68645793,-0.2107911,0.20218953,-0.7312675,0.2899703
97,R,ʁ,R,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,328043,True,False,0.23562142,-0.7442237,0.0751031,0.22896841,-0.78571165,-0.006466952
98,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,42506,True,False,0.20090821,-0.7130939,0.31505644,0.19238462,-0.7655808,0.018057952
99,e,e,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,209381,True,False,0.25274026,-0.74609214,0.010772251,0.2223979,-0.8064386,-0.070144325
100,s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,fr,252822,True,True,0.23064306,-0.69972146,-0.3597544,0.21400997,-0.7196093,-0.40206897
101,t,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,fr,212881,True,True,0.2297309,-0.7200846,-0.27278784,0.21411374,-0.7529557,-0.02255278
102,m,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,fr,140654,True,False,0.22815886,-0.7294339,0.061830945,0.22103372,-0.78920686,0.19012584
103,d,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,fr,171140,True,True,0.22213161,-0.73739916,-0.06316904,0.20847999,-0.8155958,0.15291375
104,o,o,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,96287,True,False,0.21603277,-0.7383185,0.25260022,0.21175879,-0.7964577,-0.0019671181
105,deux,ø,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,137441,True,False,0.23270386,-0.72670686,0.13283795,0.19968222,-0.77840924,-0.068670765
106,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,70779,True,False,0.23274052,-0.7227139,-0.16696684,0.21512404,-0.7544465,-0.13491738
107,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,164007,True,False,0.22867307,-0.737733,0.111604825,0.2026922,-0.8021074,-0.036293212
108,u,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,fr,77121,True,False,0.21084034,-0.7046879,0.07759608,0.20516227,-0.7483214,0.07453113
109,^,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,fr,68878,True,False,0.2516436,-0.6986624,0.1271739,0.22340181,-0.7351602,-0.06403961
110,n,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,fr,102279,True,False,0.22549635,-0.7622197,0.10244685,0.20478667,-0.82272524,0.05482565
111,i,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,192930,True,False,0.24940693,-0.7458139,-0.13486472,0.22645536,-0.78457206,-0.120348595
112,@,ɑ̃,@,vowel,3: vowel,vowel, - , - , - ,back,open,nasal, - ,fr,142830,True,False,0.209071,-0.7076416,0.22719382,0.22345683,-0.75445175,-0.0737047
113,y,y,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,88876,True,False,0.20978102,-0.71028763,-0.0185729,0.18188162,-0.74339277,-0.09386893
114,cinq,ɛ̃,cinq,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,57477,True,False,0.19485797,-0.6980211,0.1879013,0.18890044,-0.74536264,-0.042423036
115,k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,fr,135627,True,True,0.20700248,-0.6958861,-0.22770935,0.20121087,-0.7433059,-0.009332578
116,un,œ̃,un,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,15171,True,False,0.18655528,-0.67114484,0.1969213,0.18667892,-0.7230824,0.00028352067
117,f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,fr,48598,True,True,0.21462554,-0.6626087,-0.34608328,0.20139858,-0.69578546,-0.12988704
118,w,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,43272,True,False,0.21623632,-0.675852,0.05081366,0.21454921,-0.7102148,0.028462686
119,g,g,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,fr,24112,True,True,0.19185871,-0.6843867,-0.033104923,0.19260086,-0.77662206,0.22228737
120,N,ɔ̃,ons,vowel,3: vowel,vowel, - , - , - ,back,mid,nasal, - ,fr,71498,True,False,0.2028398,-0.72228426,0.15253758,0.21072668,-0.7771131,0.051544316
121,z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,fr,41531,True,True,0.19769594,-0.7025039,-0.12222094,0.18086599,-0.7668108,-0.18305072
122,huit,ɥ,huit,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,18010,True,False,0.2277914,-0.6829657,-0.13185222,0.21286309,-0.7075704,0.013413303
123,v,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,fr,94351,True,True,0.2266267,-0.74111336,-0.05785595,0.22691637,-0.8110333,0.20249778
124,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,fr,24009,True,True,0.1827291,-0.6525637,-0.29058704,0.16969743,-0.69514656,-0.41536734
125,neuf,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,18661,True,False,0.23401043,-0.69020456,0.25902247,0.20256865,-0.74143237,-0.0703984
126,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,fr,50971,True,True,0.20381612,-0.6675729,-0.16572961,0.19322455,-0.73502374,-0.22397217
127,b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,fr,47877,True,True,0.18899447,-0.70683783,-0.022977728,0.19473717,-0.79342514,0.42538044
128,G, - ,NG, - , - , - , - , - , - , - , - , - , - ,fr,164,False,False,0.14767417,-0.5359937,-0.00785582,0.14101581,-0.59111166,-0.004038307
129,x, - ,X, - , - , - , - , - , - , - , - , - , - ,fr,63,False,False,0.116014205,-0.58974904,-0.10835626,0.106363446,-0.63955754,-0.20350254
