,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count,select,obstruents,pca_0,pca_1,pca_2,pca_o_0,pca_o_1,pca_o_2
29,k,k,K,consonant,1: obstruents,plosive, - ,velar/uvular,voiceless, - , - , - ,k,de,227163,False,False,-0.13849927,0.043171667,-0.0736886,-0.22122861,0.099149756,-0.17308795
30,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,de,24693,False,False,-0.1399552,0.040014636,-0.07690719,-0.22304079,0.097639866,-0.17431827
31,o,oː,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,136113,False,False,-0.13903575,0.04128642,-0.07366414,-0.22193393,0.098400466,-0.17272833
32,Y,ʏ,Y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,29888,False,False,-0.13965236,0.041497365,-0.074688375,-0.22254486,0.09848782,-0.17268294
33,y,yː,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,de,42017,False,False,-0.13862368,0.042334154,-0.07414893,-0.22150072,0.09904959,-0.17206518
34,B,aʊ̯,AU,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,100695,False,False,-0.13764885,0.042324733,-0.07696832,-0.22058123,0.09844477,-0.17513442
35,=,ts,=,consonant,1: obstruents,affricate, - ,dental/alveolar,voiceless, - , - , - , - ,de,142579,False,False,-0.13909255,0.040226884,-0.0743286,-0.2221697,0.09758421,-0.17228796
36,u,uː,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,de,104364,False,False,-0.13822132,0.04217035,-0.075889416,-0.22103459,0.09864309,-0.17438526
37,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,de,127251,False,False,-0.13908574,0.04109537,-0.07535526,-0.221955,0.09774796,-0.17386201
38,|,øː,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,17291,False,False,-0.1378949,0.042624302,-0.07541228,-0.2207112,0.09911265,-0.17294186
39,c, - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,94,False,False,-0.14093906,0.041540533,-0.07500295,-0.22394885,0.09787687,-0.17322049
40,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,de,2286,False,False,-0.1381816,0.04134936,-0.07512214,-0.22113532,0.09788749,-0.17375655
41,eins, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,345,False,False,-0.1394678,0.040593076,-0.07547822,-0.222523,0.09746085,-0.17405951
42,X,ɔʏ̯,OI,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,de,27927,False,False,-0.138045,0.041282192,-0.076778926,-0.22092493,0.09797887,-0.17458625
43,drei, - ,ER, - , - , - , - , - , - , - , - , - , - ,de,37,False,False,-0.13729176,0.040890925,-0.07521902,-0.22003758,0.0977548,-0.17468631
44,/,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,de,12673,False,False,-0.13889985,0.04213224,-0.07466877,-0.2218056,0.09862139,-0.17305264
45,+,pf,PF,consonant,1: obstruents,affricate, - ,labial,voiceless, - , - , - , - ,de,8468,False,False,-0.13958572,0.04100916,-0.07459421,-0.2223484,0.09789128,-0.17325826
46,J,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - , - ,de,2957,False,False,-0.13745287,0.042154882,-0.075105,-0.22035447,0.09923043,-0.17383604
47,~, - ,ons, - , - , - , - , - , - , - , - , - , - ,de,616,False,False,-0.14083725,0.04193403,-0.07498121,-0.22363666,0.0983328,-0.1723001
48,q, - ,@, - , - , - , - , - , - , - , - , - , - ,de,1410,False,False,-0.14097485,0.041340303,-0.07551352,-0.22375095,0.098128326,-0.17415193
49,{, - ,AE, - , - , - , - , - , - , - , - , - , - ,de,7,False,False,-0.1395567,0.041895613,-0.07518593,-0.22241795,0.09828881,-0.17460483
50,sechs, - ,AW, - , - , - , - , - , - , - , - , - , - ,de,20,False,False,-0.14147455,0.042206872,-0.075376034,-0.22431684,0.09837421,-0.17230922
51,spn, - ,spn, - , - , - , - , - , - , - , - , - , - ,de,15,False,False,-0.64796126,0.0067744143,0.075564474,-0.7136557,0.034983657,0.053448606
52, - , - ,cinq, - , - , - , - , - , - , - , - , - , - ,de,0,False,False,-0.13490862,0.041674092,-0.07454912,-0.21766381,0.09891143,-0.17376673
53,_, - ,EY, - , - , - , - , - , - , - , - , - , - ,de,249,False,False,-0.13907045,0.041001078,-0.075730875,-0.2219522,0.097989686,-0.17382698
54,vier, - ,OY, - , - , - , - , - , - , - , - , - , - ,de,9,False,False,-0.1380339,0.041567437,-0.07416008,-0.2208292,0.0981485,-0.17361625
55,AH,ʌ,AH,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,1752984,True,False,0.7733624,-0.24963123,0.012965044,0.6565254,-0.10636635,-0.084000416
56,B,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,en,346454,True,True,0.6943532,-0.056113385,0.087613225,0.59372085,-0.4556944,-0.091177896
57,AW,aʊ,AW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,122632,True,False,0.602564,-0.43999085,0.18003011,0.46823847,-0.19760771,-0.08827404
58,T,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,en,1351742,True,True,0.7429329,0.27117446,0.22595426,0.69291145,-0.028148392,0.1299228
59,IH,ɪ,IH,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,1138540,True,False,0.71870506,0.06303486,-0.34328598,0.61115783,-0.04355453,-0.14819749
60,L,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,en,722313,True,False,0.6767968,-0.28736654,-0.015514147,0.5624736,-0.2055395,-0.09220358
61,EH,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,en,505990,True,False,0.72249854,-0.13695318,-0.05325228,0.60650814,-0.054828525,-0.09632991
62,V,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,en,308814,True,True,0.6980349,-0.0033074133,0.18290114,0.61343265,-0.2400972,0.038073026
63,N,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,en,1211189,True,False,0.71682847,-0.13536364,-0.039804593,0.6227321,-0.17281955,-0.16046414
64,AY,aɪ,AY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,371523,True,False,0.65961134,-0.30690438,0.1705727,0.53295124,-0.11748151,-0.08381085
65,W,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,en,428141,True,False,0.6476822,-0.2222614,-0.12805818,0.5257747,-0.25387007,-0.14217198
66,AO,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,open,monophthong, - ,en,266504,True,False,0.68042934,-0.39003876,0.05724047,0.5563368,-0.15410446,0.0025027161
67,K,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,en,557643,True,True,0.6958786,0.16667959,0.22710358,0.63177806,-0.15296105,0.16586605
68,AE,æ,AE,vowel,3: vowel,vowel, - , - , - ,front,open,monophthong, - ,en,459972,True,False,0.69389904,-0.2727359,0.13783816,0.5677838,-0.13201839,-0.059591606
69,M,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,en,544406,True,False,0.67262614,-0.16414928,-0.0068814196,0.5718053,-0.25223717,-0.067404516
70,HH,h,HH,consonant,1: obstruents,fricative,dorsal,glottal,voiceless, - , - , - , - ,en,344118,True,True,0.6422231,0.14577454,0.07836944,0.57217234,0.05556699,0.011362669
71,OW,oʊ,OW,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,248749,True,False,0.6651646,-0.41215804,-0.13195719,0.54122007,-0.1545989,-0.16770609
72,EY,eɪ,EY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,303809,True,False,0.6742612,0.02474745,-0.21566235,0.5566701,-0.049696423,-0.14367142
73,R,ɹ,R,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,747105,True,False,0.70394754,-0.15117839,-0.093549594,0.59217393,-0.1260009,-0.091688365
74,IY,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,en,739292,True,False,0.63579535,0.20646343,-0.4522943,0.53402907,-0.033553384,-0.12606409
75,Z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,en,516448,True,True,0.61316276,0.32096314,0.13754913,0.5544633,0.21090218,0.036025126
76,TH,θ,TH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiceless, - , - , - ,θ,en,112878,True,True,0.65839386,0.32042935,0.29845512,0.61767995,-0.0021707024,0.3849415
77,NG,ŋ,NG,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular, - , - , - , - , - ,en,218981,True,False,0.57389736,-0.0814243,-0.16421647,0.46331716,-0.20453757,-0.16301028
78,S,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,en,851225,True,True,0.6365812,0.39283553,0.2967536,0.58588845,0.3323092,0.2152129
79,D,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,en,753534,True,True,0.71850073,0.16245687,0.01692583,0.64682055,-0.26187122,-0.18084008
80,P,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,en,352090,True,True,0.6938801,0.16448417,0.27587745,0.62541234,-0.23347154,0.26724768
81,DH,ð,DH,consonant,1: obstruents,fricative, - ,dental/alveolar,voiced, - , - , - ,θ,en,561905,True,True,0.6824415,0.06249964,0.08849046,0.600287,-0.30659717,-0.060317628
82,ER,ɝ,ER,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,en,458771,True,False,0.6903187,-0.2391522,-0.0374429,0.5790776,-0.08777929,-0.09674373
83,AA,ɑ,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,en,289096,True,False,0.67370117,-0.47732317,0.14610127,0.5435607,-0.19646822,-0.04829274
84,UW,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,310148,True,False,0.5643594,0.00982881,-0.5002076,0.45476747,-0.12673333,-0.18095788
85,SH,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,en,131676,True,True,0.5948888,0.47753006,0.09353782,0.5361343,0.51881707,-0.17234609
86,G,ɡ,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,en,173972,True,True,0.6703416,0.050272327,-0.03574627,0.5761127,-0.38011724,-0.22206156
87,F,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,en,303292,True,True,0.6678997,0.29666606,0.4170416,0.6103552,0.08162144,0.38910946
88,Y,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,en,191797,True,False,0.57235444,0.19670784,-0.46081716,0.4856701,-0.0032061394,-0.27033815
89,CH,tʃ,CH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiceless, - , - , - ,tʃ,en,78718,True,True,0.5977075,0.45382196,0.111248925,0.5578629,0.31210405,-0.093215846
90,UH,ʊ,UH,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,en,95954,True,False,0.56566596,-0.1569635,-0.3459317,0.4597907,-0.09695226,-0.18299343
91,JH,dʒ,JH,consonant,1: obstruents,affricate, - ,postalveolar/palatal,voiced, - , - , - ,tʃ,en,89166,True,True,0.59653354,0.41213053,-0.08324181,0.5436559,0.17452726,-0.41965777
92,ZH,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,en,9603,True,True,0.41885567,0.34575093,-0.1445745,0.34884065,0.43612096,-0.5231241
93,OY,ɔɪ,OY,vowel,3: vowel,vowel, - , - , - , - , - ,diphtong, - ,en,40795,True,False,0.47816518,-0.18765453,-0.17739414,0.35506845,-0.13064286,-0.17166276
94,l,l,L,consonant,2: nasal/approximant,approximant, - ,dental/alveolar, - , - , - , - , - ,fr,238667,True,False,-0.8067033,0.04636358,-0.10024707,-0.8861602,-0.09329105,-0.11656301
95,a,a,AA,vowel,3: vowel,vowel, - , - , - ,central,open,monophthong, - ,fr,319241,True,False,-0.7284353,-0.35092574,0.32027125,-0.81230986,-0.07692947,0.04725603
96,p,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless, - , - , - ,p,fr,119025,True,True,-0.7517153,0.1064327,0.22813164,-0.8445564,-0.2191458,0.23694877
97,R,ʁ,R,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,328043,True,False,-0.8028455,-0.16943815,0.2221012,-0.86860764,-0.067033544,0.069427714
98,O,ɔ,AO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,42506,True,False,-0.71348965,-0.3951109,0.14759502,-0.78325605,-0.10119272,-0.022068663
99,e,e,EE,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,209381,True,False,-0.7936716,0.16081831,-0.21313451,-0.85871,0.032177895,-0.03423214
100,s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless, - , - , - ,s,fr,252822,True,True,-0.75636566,0.35569558,0.27460486,-0.82405853,0.36148393,0.29622927
101,t,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless, - , - , - ,t,fr,212881,True,True,-0.7742474,0.22254792,0.29597235,-0.84146243,-0.03694337,0.27556202
102,m,m,M,consonant,2: nasal/approximant,nasal,labial,labial, - , - , - , - , - ,fr,140654,True,False,-0.767789,-0.17174944,-0.041136004,-0.85345286,-0.20186178,-0.12950264
103,d,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced, - , - , - ,t,fr,171140,True,True,-0.7791941,-0.03509645,0.022020742,-0.8688357,-0.31915838,-0.1916063
104,o,o,OO,vowel,3: vowel,vowel, - , - , - ,back,mid,monophthong, - ,fr,96287,True,False,-0.75406396,-0.2474969,-0.123640716,-0.827539,-0.09322146,-0.054276988
105,deux,ø,|,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,137441,True,False,-0.76795447,-0.006014414,-0.25454712,-0.82286775,4.2654574e-06,-0.12403023
106,j,j,Y,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,70779,True,False,-0.78733146,0.26240334,-0.19745214,-0.8421637,0.13544591,-0.09706416
107,E,ɛ,EH,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,164007,True,False,-0.787701,0.039130848,-0.028550506,-0.8485474,0.039058596,-0.008859666
108,u,u,UW,vowel,3: vowel,vowel, - , - , - ,back,close,monophthong, - ,fr,77121,True,False,-0.71094596,-0.027821131,-0.19207895,-0.7735519,-0.04818982,-0.012148463
109,^,ə,AH,vowel,3: vowel,vowel, - , - , - ,central,mid,monophthong, - ,fr,68878,True,False,-0.79658175,-0.111717634,-0.06625985,-0.84385866,-0.021103127,-0.023099354
110,n,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar, - , - , - , - , - ,fr,102279,True,False,-0.784853,-0.060255118,-0.14564565,-0.85470736,-0.14238621,-0.16537616
111,i,i,IY,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,192930,True,False,-0.7869762,0.29542738,-0.2688408,-0.84518135,0.099774264,-0.027641665
112,@,ɑ̃,@,vowel,3: vowel,vowel, - , - , - ,back,open,nasal, - ,fr,142830,True,False,-0.6834698,-0.35620636,0.22426854,-0.7681039,-0.07310438,0.04793898
113,y,y,y,vowel,3: vowel,vowel, - , - , - ,front,close,monophthong, - ,fr,88876,True,False,-0.7437633,0.15213615,-0.3760764,-0.8070143,0.05696258,-0.10467341
114,cinq,ɛ̃,cinq,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,57477,True,False,-0.6947719,-0.3123799,0.24297205,-0.7760869,-0.07580913,0.06676693
115,k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless, - , - , - ,k,fr,135627,True,True,-0.7685988,0.19988811,0.17068212,-0.8518435,-0.07221564,0.15308994
116,un,œ̃,un,vowel,3: vowel,vowel, - , - , - ,front,open,nasal, - ,fr,15171,True,False,-0.63594854,-0.37014884,0.17681609,-0.7248721,-0.15075734,-0.047568567
117,f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless, - , - , - ,f,fr,48598,True,True,-0.74798775,0.28108925,0.2966149,-0.8146635,0.20392323,0.37668276
118,w,w,W,consonant,2: nasal/approximant,approximant, - ,velar/uvular, - , - , - , - , - ,fr,43272,True,False,-0.7713928,-0.115058266,0.007735217,-0.8387435,-0.0030901898,-0.0075779026
119,g,g,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced, - , - , - ,k,fr,24112,True,True,-0.70948696,-0.04366678,-0.11839329,-0.82068366,-0.33590227,-0.303132
120,N,ɔ̃,ons,vowel,3: vowel,vowel, - , - , - ,back,mid,nasal, - ,fr,71498,True,False,-0.7339908,-0.14427948,-0.16283865,-0.8127533,-0.08044571,-0.052459937
121,z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced, - , - , - ,s,fr,41531,True,True,-0.67923605,0.17547646,0.03563577,-0.7559344,0.11582676,-0.024780346
122,huit,ɥ,huit,consonant,2: nasal/approximant,approximant, - ,postalveolar/palatal, - , - , - , - , - ,fr,18010,True,False,-0.71991324,0.20555025,-0.2745372,-0.7847363,0.04739728,-0.083850615
123,v,v,V,consonant,1: obstruents,fricative,labial,labial,voiced, - , - , - ,f,fr,94351,True,True,-0.81512654,-0.053270392,0.08227593,-0.9047968,-0.18877417,-0.054354206
124,S,ʃ,SH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiceless, - , - , - ,ʃ,fr,24009,True,True,-0.6848111,0.34197408,0.122262836,-0.7642687,0.49634138,-0.055809774
125,neuf,œ,/,vowel,3: vowel,vowel, - , - , - ,front,mid,monophthong, - ,fr,18661,True,False,-0.72162354,-0.188577,-0.040365316,-0.772386,-0.0062513053,-0.11461475
126,Z,ʒ,ZH,consonant,1: obstruents,fricative, - ,postalveolar/palatal,voiced, - , - , - ,ʃ,fr,50971,True,True,-0.6763263,0.29343605,-0.07737094,-0.75892013,0.34341934,-0.36464423
127,b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced, - , - , - ,p,fr,47877,True,True,-0.74793124,-0.15274006,-0.001580637,-0.8575058,-0.40969545,-0.2192061
128,G, - ,NG, - , - , - , - , - , - , - , - , - , - ,fr,164,False,False,-0.3460597,0.06326762,-0.21181336,-0.42879775,0.014892591,-0.21105115
129,x, - ,X, - , - , - , - , - , - , - , - , - , - ,fr,63,False,False,-0.2931578,0.1408021,-0.13939773,-0.37404823,0.24705221,-0.3219243
